baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,1918.66063769086,0.148309804875711,0.0859263117381967,1.72601153099165,0.0843453382839006,0.229562751849694
ENSMUSG00000000028,34.586047473874,-0.429812197047822,0.322360232296592,-1.33332884762401,0.182423910859179,0.387168095194537
ENSMUSG00000000031,1.52724397857329,-0.437430572012496,1.34063476661541,-0.326286161529915,0.744207857318987,NA
ENSMUSG00000000049,30598.5918943674,-0.00459820532575263,0.0935175055465336,-0.0491694608285355,0.960784248546165,0.981249498780645
ENSMUSG00000000056,1343.86554988658,-1.02863224547475,0.0784252285959195,-13.1160885838753,2.66330293906413e-39,8.32464944149436e-37
ENSMUSG00000000058,80.7271540888009,0.138424769695748,0.242670124982657,0.570423613972427,0.568390417191129,0.758644010095719
ENSMUSG00000000078,166.481671719088,0.200413958546881,0.174496693094739,1.14852582586234,0.250751557857066,0.471482729865474
ENSMUSG00000000085,232.564335038133,0.0584851076554814,0.132688620157215,0.440769582095176,0.659379816692235,0.820928901740934
ENSMUSG00000000088,1677.84154037485,0.0343539240314553,0.112104616058091,0.306445222680694,0.759265680708998,0.87993124072571
ENSMUSG00000000093,101.970337111335,-0.58116353700187,0.187060417989862,-3.10682261510485,0.00189109836171237,0.0126770391017901
ENSMUSG00000000120,75.9504763245258,1.80119267853942,0.257408037599197,6.99742205153674,2.60715023337622e-12,1.21522169211258e-10
ENSMUSG00000000126,17.1661585635093,-0.799206328458713,0.434707996821478,-1.83849005378874,0.0659902261442079,0.19298297467709
ENSMUSG00000000127,317.398215109607,-0.0937749527034895,0.115717916871164,-0.810375395954411,0.417724454304509,0.641640540187722
ENSMUSG00000000131,1274.5490854406,-0.0717171965465735,0.0753014460749304,-0.952401318763649,0.340893490910521,0.569844169217524
ENSMUSG00000000134,491.803064069053,0.0911743674693577,0.10214220981853,0.892621841952918,0.372059718297059,0.598668009424994
ENSMUSG00000000142,203.718144599777,0.547932896981127,0.216560422175581,2.53016175105569,0.0114009953926718,0.0533597379784444
ENSMUSG00000000148,302.301901439379,0.122608455516719,0.114087460862854,1.07468826626011,0.282514318827737,0.509049480776869
ENSMUSG00000000149,2841.14531847174,-0.606220566179627,0.132982549666215,-4.55864748947313,5.14841026640941e-06,8.15003059154244e-05
ENSMUSG00000000154,1724.06064415655,-0.0669993602165703,0.0894863930349909,-0.748710032265713,0.454031995624774,0.672151192631364
ENSMUSG00000000159,283.177574177004,-0.0654555277567412,0.12035470897627,-0.54385514545714,0.586541157340973,0.77225111819075
ENSMUSG00000000167,11.2349625646065,0.10397815659819,0.498606622980798,0.20853745579347,0.834809339936055,0.921374662578916
ENSMUSG00000000168,1024.22517849625,-0.0131499864910238,0.101012701308912,-0.130181515003833,0.896422819007666,0.951643324307485
ENSMUSG00000000171,2986.17333205,-0.038176367893374,0.0752465220085118,-0.507350597401107,0.611908842609404,0.788874958353135
ENSMUSG00000000184,336.933758851274,0.0306249832496646,0.124379033177045,0.246223036691982,0.805509583696753,0.906005300280622
ENSMUSG00000000194,646.947594017006,-0.0507813038794309,0.102459408871417,-0.495623627334799,0.620159979694401,0.795158318545256
ENSMUSG00000000197,1.36594962348798,-1.42689082853828,1.58897420957318,-0.897994957968239,0.369188237519916,NA
ENSMUSG00000000204,4.10332238003963,1.07085108068892,0.779341175144589,1.37404658555382,0.16942722035475,NA
ENSMUSG00000000244,8.87803147027403,-0.0717259013011409,0.595977058112685,-0.120350104630335,0.904205814758011,0.955251606128335
ENSMUSG00000000247,46.9035969304443,0.195956212751789,0.261567866501299,0.749160114248269,0.453760706123437,0.671981297721783
ENSMUSG00000000253,22.099472343176,0.879739788550065,0.367813382274152,2.39181017044765,0.0167655111761804,0.071060625806831
ENSMUSG00000000266,221.581593522987,0.329991210330421,0.134464416770567,2.45411550695583,0.0141231608115055,0.0626077048098468
ENSMUSG00000000275,1985.45153166638,-0.0415376311049777,0.101624842013365,-0.408735012837853,0.682734136164984,0.834749567771591
ENSMUSG00000000276,90.6943080542385,0.0503042962085428,0.175183495159283,0.287152029720633,0.773995914899904,0.888284444697425
ENSMUSG00000000278,608.285501769694,-0.018332938983386,0.105805384076294,-0.173270378851103,0.862438905758,0.934421164731073
ENSMUSG00000000282,193.237891503167,-0.318033609022161,0.147920768544621,-2.15002674844962,0.0315530990384294,0.11370830338511
