baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,912.960023716184,0.22546552939132,0.128367088961982,1.75641226434679,0.0790180402225024,0.282854633767185
ENSMUSG00000000028,23.9405138360757,-0.454544391972646,0.444368685388125,-1.02289924317154,0.306355487383281,0.611143893558462
ENSMUSG00000000031,4.48105900606816,-0.687403530230631,1.27130657876671,-0.540706342365884,0.588710006233884,NA
ENSMUSG00000000037,0.978215461129984,-0.477283963031041,1.996504802496,-0.239059762057345,0.811059242441817,NA
ENSMUSG00000000049,18748.0813948425,0.00910914485289551,0.101230614552146,0.0899840912079335,0.92829985691405,0.978327511834552
ENSMUSG00000000056,858.804036216244,-0.959052946420506,0.124900317991977,-7.67854687513376,1.60903281894717e-14,1.23818906448506e-12
ENSMUSG00000000058,35.0535067601746,0.291466093446625,0.336088134999193,0.867231131046397,0.385815382310421,0.685406396593403
ENSMUSG00000000078,134.383229372841,0.261096920353385,0.185024896641076,1.41114479777216,0.158201923192787,0.428550711662488
ENSMUSG00000000085,177.581160785659,0.261695743261306,0.154310173731864,1.69590725570719,0.0899034453643605,0.306506260989043
ENSMUSG00000000088,1072.54596278766,-0.000167173478007213,0.106236322708293,-0.00157360000558607,0.998744449368833,0.999569176412077
ENSMUSG00000000093,78.1680236839042,-0.477434103886224,0.243934969002485,-1.95721878596815,0.0503217510537468,0.208581625133357
ENSMUSG00000000120,56.0729101290526,1.80656758989928,0.291185657671185,6.20417778934465,5.49835995500655e-10,2.37294205298562e-08
ENSMUSG00000000126,8.76122145795831,0.475809630682351,0.631148544047772,0.753878995950495,0.450921883869821,NA
ENSMUSG00000000127,202.329272839383,-0.119744486072676,0.153395621200883,-0.780625190831632,0.435022971294024,0.723496180045773
ENSMUSG00000000131,939.902291866175,-0.102333149957825,0.107850258834612,-0.94884473216474,0.342699587240969,0.647133575283387
ENSMUSG00000000134,373.444087249991,0.379080904505216,0.130282067076978,2.90969365938317,0.00361783172452524,0.0295937821155766
ENSMUSG00000000142,211.35399966324,0.506811790263437,0.197550952469483,2.56547378753706,0.0103035006117877,0.0661315590899562
ENSMUSG00000000148,223.585339245164,0.119728103414064,0.170637658265346,0.701651116354891,0.482896765415665,0.758041074603932
ENSMUSG00000000149,1802.96371694718,-0.412087271182006,0.108811192403,-3.78717723867757,0.000152368416552006,0.00211253217381542
ENSMUSG00000000154,1195.46550000094,-0.108108666523888,0.141560537375655,-0.763692117366039,0.445050739338016,0.72985352210222
ENSMUSG00000000159,159.471966721352,-0.0181503123154925,0.173186755960976,-0.104801964877628,0.916532950890806,0.973585427898173
ENSMUSG00000000167,6.379851751912,-0.25359773875699,0.714578594321159,-0.3548913174455,0.722671013331871,NA
ENSMUSG00000000168,569.464265480533,-0.242504294553899,0.115928838852609,-2.0918375182056,0.0364530529227286,0.168190374329693
ENSMUSG00000000171,1694.68425702702,-0.146186913281747,0.100867601935099,-1.44929502116852,0.147255210912514,0.411308313559812
ENSMUSG00000000184,195.787032541775,0.115044877827801,0.166252510328292,0.691988816292919,0.488944352327784,0.762023859864477
ENSMUSG00000000194,463.452908435012,0.0215310017603725,0.114637375870544,0.18781834106781,0.851019057538423,0.948010200125523
ENSMUSG00000000197,2.13514688477752,-0.590628510678637,1.1600033749705,-0.50916102782344,0.610639357769966,NA
ENSMUSG00000000204,8.33375530864061,2.26863880964751,1.04739319412972,2.16598582305332,0.0303122702941379,NA
ENSMUSG00000000223,0.98553352314888,1.88524587582956,2.22769116624866,0.846277933132101,0.397397715050406,NA
ENSMUSG00000000244,7.82594497364325,-0.0381845214168721,0.667958557088307,-0.0571660038061672,0.954412958888419,NA
ENSMUSG00000000247,43.5146708313035,0.215747634399849,0.316003447880286,0.682738229114458,0.494772268406175,0.766556788602914
ENSMUSG00000000253,15.13436048608,0.409130027512526,0.470232626104286,0.870058785376138,0.384268279475607,0.684542853823004
ENSMUSG00000000266,127.025944567985,0.153422488586773,0.186409802386192,0.823038738429224,0.410485964413638,0.704853349047456
