baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001,912.960023716184,0.075510290847064,0.143171784099962,0.52741042043831,0.597908608741816,0.865700541392228
ENSMUSG00000000028,23.9405138360757,-0.381347533406381,0.486299963382047,-0.78418170290255,0.432933499768621,0.775919263171267
ENSMUSG00000000031,4.48105900606816,-0.726537157617389,0.949907524662169,-0.764850407807622,0.444360627421357,NA
ENSMUSG00000000037,0.978215461129984,0.948021160845972,2.18703974005417,0.433472306645188,0.664671680682961,NA
ENSMUSG00000000049,18748.0813948425,-0.092872039150393,0.113168749084803,-0.820650929708513,0.411845128946248,0.765713868873563
ENSMUSG00000000056,858.804036216244,-1.17119746160429,0.14009945538119,-8.35975741959622,6.28473495035074e-17,1.11922834458671e-14
ENSMUSG00000000058,35.0535067601746,-0.213241241578266,0.362022780871146,-0.58902713543368,0.555843070715659,0.844296950577011
ENSMUSG00000000078,134.383229372841,0.249972097377269,0.202026340629325,1.23732428453928,0.215966715688247,0.579136530708907
ENSMUSG00000000085,177.581160785659,0.0700988651977549,0.171813883848501,0.40799301911809,0.683278800018954,0.90145200176666
ENSMUSG00000000088,1072.54596278766,0.0107874516221913,0.118623885046856,0.0909382761990152,0.927541636171382,0.979186452104064
ENSMUSG00000000093,78.1680236839042,-0.538167400992782,0.271118574364413,-1.98498904862722,0.047145689938885,0.25078788631821
ENSMUSG00000000120,56.0729101290526,1.01024243082347,0.305977480730724,3.30168883151417,0.000961046213018564,0.0145598501272312
ENSMUSG00000000126,8.76122145795831,0.235630677920078,0.668860301948568,0.352286833638689,0.724623161290658,NA
ENSMUSG00000000127,202.329272839383,0.0276452060961288,0.168884698289541,0.163692781975624,0.869973000050077,0.964249909520524
ENSMUSG00000000131,939.902291866175,0.0250762491091799,0.119873167534446,0.209189843106249,0.834300041052422,0.954825807904357
ENSMUSG00000000134,373.444087249991,0.404912202981429,0.142521184833004,2.84106677513155,0.00449628965861758,0.0481726648002441
